题目内容,题目选项A,题目选项B,题目选项C,题目选项D,题目答案,类型,分值,难度,赛题分类（技术领域）,,,,,,
"根据《网络安全法》的规定,关键信息基础设
施的运营者在中华人民共和国境内运营中收集
和产生的个人信息和重要数据应当在()。因业
务需要,确需向境外提供的,应当按照国家网信
部门会同国务院有关部门制定的办法进行安全
评估,法律、行政法规另有规定的,依照其规定",境外存储,第三方存储,境内存储,外部存储器储存,3,单选,3,2,法律法规,,,,,,
"关键信息基础设施的运营者应当自行或者委托
网络安全服务机构对其网络的安全性和可能存
在的风险()至少进行一次检测评估,并将检测
评估情况和改进措施报送相关负责关键信息基
础设施安全保护工作的部门",四年,每年,两年,六个月,2,单选,3,2,法律法规,,,,,,
"国家建立网络安全监测预警和()制度。国家网
信部门应当统筹协调有关部门加强网络安全信
息收集、分析和通报工作,按照规定统一发布
网络安全监测预警信息",信息共享,信息输送,信息传达,信息通报,2,单选,3,2,法律法规,,,,,,
"国家倡导诚实守信、()的网络行为,推动传播
社会主义核心价值观,采取措施提高全社会的
网络安全意识和水平,形成全社会共同参与促
进网络安全的良好环境",自由平等,团结互助,健康文明,和平友爱,3,单选,3,2,法律法规,,,,,,
"国家网信部门负责统筹协调网络安全工作和相
关监督管理工作。国务院电信主管部门、公安
部门和其他有关机关依照本法和有关法律、行
政法规的规定,在各自职责范围内负责()和监",网络安全,设备安全,信息安全保护,网络安全保护,4,单选,3,2,法律法规,,,,,,
"任何个人和组织有权对危害网络安全的行为向
下列哪些部门举报（）。",网信、电信、公安,网信、电信、国安,电信、公安、国安,网信、公安、国安,1,单选,3,2,法律法规,,,,,,
关于网络安全，我国实行什么制度（）。,"网络安全分级保护
制度","网络安全等级保护
制度","网络安全模块保护
制度","网络安全等级监督
制度",2,单选,3,2,法律法规,,,,,,
"网络产品、服务应当符合相关国家标准的（
）要求。",规范性,强制性,自觉性,建议性,2,单选,3,2,法律法规,,,,,,
"网络产品、服务应当符合相关国家标准的（
）要求。发现其网络产品、服务存在安全缺陷
、漏洞等风险时，应当立即采取补救措施，按
照规定及时告知永固并向（）报告。",行业要求；有关主管部门,行业要求；公安部,强制性要求；有关主管部门,强制性要求；国家网信部门,3,单选,3,2,法律法规,,,,,,
"国家实施（），支持研究开发安全、方便的电
子身份认证技术，推动不同电子身份认证之间
的互认。",网络市场监管,"网络市场
充分自主
发展战略",网络可信身份战略,网络严格许可,3,单选,3,2,法律法规,,,,,,
"网络运营者应当制定网络安全事件应急预案，
及时处置（）等安全风险。",系统漏洞,"计算机病
毒",网络侵入,以上均是,4,单选,3,2,法律法规,,,,,,
"明知他人从事危害网络安全的活动的，不得为
其提供（）帮助。",技术支持,广告推广,支付结算,以上均是,4,单选,3,2,法律法规,,,,,,
网信部门和有关部门在履行网络安全保护职责 中获取的信息，只能用于（），不得用于其他 用途。,维护网络安全的需要,严格保密，不能使用,网民日常上网的需要,"公安机关、国家安
全机关侦查犯罪",1,单选,3,2,法律法规,,,,,,
"国家对公共通信和信息服务、能源、交通、水
利、金融、公共服务、电子政务等重要行业和
领域，以及其他一旦遭到破坏、丧失功能或者
数据泄露，可能会严重危害（）的关键信息基
础设施，在网络安全等级保护制度的基础上，
实行重点保护。",网络秩序,国家安全,公共安全,"国家安全、国计民
生、公共利益",4,单选,3,2,法律法规,,,,,,
"关键信息基础设施的运营者采购网络产品和服
务，可能影响（）的，应当通过（）会同国务
院有关部门组织的国家安全审查。","国家安全；国家
网信部门","国家安全；国家
电信部门","网络安全；国家
网信部门","网络安全；国家
电信部门",1,单选,3,2,法律法规,,,,,,
"关键信息基础设施的运营者采购网络产品和服
务，应当按照规定与（）签订安全保密协议，
明确安全和保密义务与责任。",接受服务者,政府,提供者,以上均不是,3,单选,3,2,法律法规,,,,,,
"关键信息基础设施的运营者应当自行或者委托
网络安全服务机构对其网络的安全性和可能存
在的风险每（）至少进行（）次检测评估，并
将检测评估情况和改进措施报送相关负责关键
信息基础设施安全保护工作的部门。",每月；一次,每年；一次,每季度；一次,每年；两次,2,单选,3,2,法律法规,,,,,,
下列哪些不是国家网信部门应当统筹协调有关 部门对关键信息基础设施的安全保护采应当取 的措施（）。,"对关键信息基础设
施的安全风险进行
抽查检测，提出改进措施，必要时可以委托网络安全服务机构对网络存在的安全风险进行检测评估；",定期组织关键信息基础设施的运营者进行网络安全应急演练，提高应对网络安全事件的水平和协同配合能力,促进有关部门、关键信息基础设施的运营者以及有关研究机构、网络安全服务机构等之间的网络安全信息共享,组织统筹有关部门对新型网络病毒进行汇总、研究。,4,单选,3,2,法律法规,,,,,,
"网络运营者收集、使用个人信息，应当遵循
（）的原则，公开收集、使用规则，明示收集
、使用信息的目的、方式和范围，并经被收集",合法、正当、必要,合理、正当、公开,合法、公开、严格,合理、保密、必要,1,单选,3,2,法律法规,,,,,,
"下列个人和有关组织的哪些行为是违法的（）
。",窃取和以非法方法获取公民信息,出售他人信息,"向朋友提供他人公
民信息，用于营利
活动",以上均违法,4,单选,3,2,法律法规,,,,,,
隔壁老王利用网络实施的下列哪些行为是违法 的（）。,"利用微信建立群
组，向群友发布法
轮功邪教宣传文字",在淘宝上卖自己用面粉制作的摇头丸,用面粉加白糖制作海洛因，在网络上按斤兜售,以上均违法,4,单选,3,2,法律法规,,,,,,
网络运营者发现有人利用其平台发布法律、行 政法规禁止发布或者传输的信息的，应当()。,"立即停止传输该信
息",消除违法信息,防止信息扩散,以上均正确,4,单选,3,2,法律法规,,,,,,
"国家建立网络安全监测预警和（ ）制度。国
家网信部门应当统筹协调有关部门加强网络安
全信息收集、分析和通报工作，按照规定统一
发布网络安全监测预警信息。",信息共享,信息输送,信息传达,信息通报,4,单选,3,2,法律法规,,,,,,
(               )应当统筹协调有关部门定期组织关键信息基础设施的运营者进行网络安全应急演练，提高应对网络安全事件的水平和协同配合能力。,国家应急管理部门,国家网信部门,国家安全部门,行业主管部门,2,单选,3,2,法律法规,,,,,,
"从事提供专门用于从事危害网络安全活动的程
序、工具的活动，尚不构成犯罪的，由（    ）没收违法所得。",网信部门,国家网信部门,公安机关,国家有关部门,3,单选,3,2,法律法规,,,,,,
"从事提供专门用于从事危害网络安全活动的程
序、工具的活动，尚不构成犯罪的，由公安机
关没收违法所得，处(                     )拘留。",三日以下,五日以下,七日以下,十日以下,2,单选,3,2,法律法规,,,,,,
"从事提供专门用于从事危害网络安全活动的程
序、工具的活动，尚不构成犯罪的，由公安机
关没收违法所得，处五日以下拘留，可以并处
(               )。",五千元以上五万元以下罚款,一万元以上五万元以下罚款,一万元以上十万元以下罚款,"五万元以上五十万
元以下罚款",4,单选,3,2,法律法规,,,,,,
"从事提供专门用于从事危害网络安全活动的程
序、工具的活动，受到治安管理处罚的人员，
(               )内不得从事网络安全管理和网络运营关键岗位的工作。",一年,二年,三年,五年,4,单选,3,2,法律法规,,,,,,
关键信息基础设施的(                       )采购网络产品和服务，应当按照规定与提供者签订安全保密协议，明确安全和保密义务与责任。,管理者,运营者,所有者,持有者,2,单选,3,2,法律法规,,,,,,
"关键信息基础设施的运营者不履行“对重要系
统和数据库进行容灾备份|”义务的，由有关
主管部门责令改正，给予警告；拒不改正或者
导致危害网络安全等后果的，(                        )","处一万元以上十万
元以下罚款","处五万元以上五十
万元以下罚款","处十万元以上五十
万元以下罚款","处十万元以上一百
万元以下罚款",4,单选,3,2,法律法规,,,,,,
"关键信息基础设施的运营者不履行“设置专门
安全管理机构和安全管理负责人，并对该负责
人和关键岗位的人员进行安全背景审查” 义
务的，由(                        )责令改正，给予警告",有关主管部门,国家有关部门,国家安全部门,国家网信部门,1,单选,3,2,法律法规,,,,,,
"关键信息基础设施的运营者应当自行或者委托
网络安全服务机构对其网络的安全性和可能存
在的风险(      )至少进行一次检测评估",每半年,每年,两年,三年,2,单选,3,2,法律法规,,,,,,
关键信息基础设施的运营者应将按规定进行的 检测评估情况和改进措施报送(                        )。,本行业主管部门,国家网信部门,国家安全部门,"相关负责关键信息
基础设施安全保护
工作的部门",4,单选,3,2,法律法规,,,,,,
国家(       )关键信息基础设施以外的网络运营者自愿参与关键信息基础设施保护体系。,鼓励,禁止,允许,有条件允许,1,单选,3,2,法律法规,,,,,,
"国家推进网络安全社会化服务体系建设，鼓励
有关企业、机构开展网络安全(                        )等安全服务",认证和检测,认证和风险评估,检测和风险评估,"认证、检测和风险
评估",4,单选,3,2,法律法规,,,,,,
"省级以上人民政府有关部门在履行网络安全监
督管理职责中，发现网络存在较大安全风险或
者发生安全事件的，(                       )按照规定的权限和程序对该网络的运营者的法定代表人或者主要负责人进行约谈。",可以,应当,必须,立即,1,单选,3,2,法律法规,,,,,,
"网络安全事件应急预案应当按照事件发生后的
危害程度、影响范围等因素对网络安全事件进
行(                         )，并规定相应的应急处置措",分析,划分,分级,设置,3,单选,3,2,法律法规,,,,,,
"网络产品、服务的提供者对其产品、服务存在
的安全缺陷、漏洞等风险，未按照规定及时告
知用户并向有关主管部门报告的，由有关主管
部门责令改正，给予警告；拒不改正或者导致
危害网络安全等后果的，对直接负责的主管人
员(                         )",处一千元以上五千元以下罚款,处一千元以上一万元以下罚款,处一万元以上五万元以下罚款,处一万元以上十万元以下罚款,4,单选,3,2,法律法规,,,,,,
"网络产品、服务的提供者擅自终止为其产品、
服务提供安全维护的，由有关主管部门责令改
正，给予警告；拒不改正或者导致危害网络安
全等后果的，(                        )。","处五千元以上五万
元以下罚款","处一万元以上五万
元以下罚款","处一万元以上十万
元以下罚款","处五万元以上五十
万元以下罚款",4,单选,3,2,法律法规,,,,,,
"网络产品、服务的提供者设置恶意程序的，由
(               )责令改正，给予警告。",国家网信部门,国家有关部门,国家安全部门,有关主管部门,4,单选,3,2,法律法规,,,,,,
"网络产品、服务的提供者设置恶意程序的，由
有关主管部门责令改正，给予警告；拒不改正
或者导致危害网络安全等后果的，(
)。","处一万元以上十万
元以下罚款","处五万元以上五十
万元以下罚款","处十万元以上五十
万元以下罚款","处十万元以上一百
万元以下罚款",2,单选,3,2,法律法规,,,,,,
"网络产品、服务具有手机用户信息功能的，其
提供者应当向（）明示并取得同意。",用户,"服务接受
者","国家网信
部门","服务所在
地政府",1,单选,3,2,法律法规,,,,,,
"网络运营者不履行“及时处置系统漏洞、计算
机病毒、网络攻击、网络侵入等安全风险”义
务的，由(                       )责令改正，给予警告",有关主管部门,国家有关部门,网信部门,国家网信部门,1,单选,3,2,法律法规,,,,,,
"网络运营者不履行“在发生危害网络安全的事
件时，立即启动应急预案，采取相应的补救措
施”义务的，由有关主管部门责令改正，给予
警告；拒不改正或者导致危害网络安全等后果
的，(                          )。",处一万元以上五万元以下罚款,处一万元以上十万元以下罚款,处五万元以上二十万元以下罚款,处五万元以上五十万元以,2,单选,3,2,法律法规,,,,,,
"网络运营者收集、使用个人信息，应当公开收
集、使用规则，明示收集、使用信息的(
)，并经被收集者同意。",目的,方式,目的和范围,目的、方式和范围,4,单选,3,2,法律法规,,,,,,
"网络运营者为用户办理固定电话、移动电话等
入网手续，或者为用户提供信息发布、即时通
讯等服务，对不提供真实身份信息的用户提供
相关服务的，由(                        )责令改正。",有关主管部门,国家有关部门,网信部门,国家网信部门,1,单选,3,2,法律法规,,,,,,
"网络运营者为用户办理固定电话、移动电话等
入网手续，或者为用户提供信息发布、即时通
讯等服务，未要求用户提供真实身份信息的，
由(                        )责令改正。",有关主管部门,国家有关部门,网信部门,国家网信部门,1,单选,3,2,法律法规,,,,,,
"网络运营者为用户办理固定电话、移动电话等
入网手续，或者为用户提供信息发布、即时通
讯等服务，未要求用户提供真实身份信息的，
由有关主管部门(                        )。",给予提醒,责令改正,给予警告,给予批评,2,单选,3,2,法律法规,,,,,,
"网络运营者为用户办理固定电话、移动电话等
入网手续，或者为用户提供信息发布、即时通
讯等服务，未要求用户提供真实身份信息的，
由有关主管部门责令改正；拒不改正或者情节
严重的，(                       )。",处五千元以上五万元以下罚款,处一万元以上五万元以下罚款,处一万元以上十万元以下罚款,处五万元以上五十万元以下罚款,4,单选,3,2,法律法规,,,,,,
"网络运营者为用户办理固定电话、移动电话等
入网手续，或者为用户提供信息发布、即时通
讯等服务，未要求用户提供真实身份信息的，
由有关主管部门责令改正；拒不改正或者情节
严重的，对(                       )处一万元以上十万元以下罚款。",直接负责的主管人员,直接责任人员,直接负责的主管人员和其他直接责任人员,单位负责人员,3,单选,3,2,法律法规,,,,,,
"网络运营者为用户办理固定电话、移动电话等
入网手续，或者为用户提供信息发布、即时通
讯等服务，未要求用户提供真实身份信息的，
由有关主管部门责令改正；拒不改正或者情节
严重的，对直接负责的主管人员和其他直接责
任人员(                          )。",处五千元以上五万元以下罚款,处一万元以上五万元以下罚款,处一万元以上十万元以下罚款,处五万元以上五十万元以下罚款,3,单选,3,2,法律法规,,,,,,
"网络运营者为用户办理网络接入、域名注册服
务，对不提供真实身份信息的用户提供相关服
务的，由(                       )责令改正",有关主管部门,国家有关部门,网信部门,国家网信部门,1,单选,3,2,法律法规,,,,,,
"网络运营者为用户办理网络接入、域名注册服
务，对不提供真实身份信息的用户提供相关服
务的，由有关主管部门(                        )。",给予提醒,责令改正,给予警告,给予批评,2,单选,3,2,法律法规,,,,,,
"网络运营者为用户办理网络接入、域名注册服
务，对不提供真实身份信息的用户提供相关服
务的，由有关主管部门责令改正；拒不改正或
者情节严重的(                       )。","处五千元以上五万
元以下罚款","处一万元以上五万
元以下罚款","处一万元以上十万
元以下罚款","处五万元以上五十
万元以下罚款",4,单选,3,2,法律法规,,,,,,
"网络运营者为用户办理网络接入、域名注册服
务，对不提供真实身份信息的用户提供相关服
务的，由有关主管部门责令改正；拒不改正或
者情节严重的，对(                        )处一万元以
上十万元以下罚款。",直接负责的主管人员,直接责任人员,"直接负责的主管人
员和其他直接责任
人员",单位负责人员,3,单选,3,2,法律法规,,,,,,
"网络运营者为用户办理网络接入、域名注册服
务，对不提供真实身份信息的用户提供相关服
务的，由有关主管部门责令改正；拒不改正或
者情节严重的，对直接负责的主管人员和其他
直接责任人员(                       )。",处五千元以上五万元以下罚款,处一万元以上五万元以下罚款,处一万元以上十万元以下罚款,处五万元以上五十万元以下罚款,3,单选,3,2,法律法规,,,,,,
"网络运营者为用户办理网络接入、域名注册服
务，未要求用户提供真实身份信息的，由(
)责令改正。",有关主管部门,国家有关部门,网信部门,国家网信部门,1,单选,3,2,法律法规,,,,,,
"网络运营者为用户办理网络接入、域名注册服
务，未要求用户提供真实身份信息的，由有关
主管部门(                       )。",给予提醒,责令改正,给予警告,给予批评,2,单选,3,2,法律法规,,,,,,
"网络运营者为用户办理网络接入、域名注册服
务，未要求用户提供真实身份信息的，由有关
主管部门责令改正；拒不改正或者情节严重
的，(                          )。","处五千元
以上五万
元以下罚
款","处一万元
以上五万
元以下罚
款","处一万元
以上十万
元以下罚
款","处五万元
以上五十
万元以下
罚款",4,单选,3,2,法律法规,,,,,,
"网络运营者为用户办理网络接入、域名注册服
务，未要求用户提供真实身份信息的，由有关
主管部门责令改正；拒不改正或者情节严重
的，对(                          )处一万元以上十万元以下罚款。",直接负责的主管人员,直接责任人员,"直接负责的主管人
员和其他直接责任
人员",单位负责人员,3,单选,3,2,法律法规,,,,,,
网络运营者应当建立网络信息安全投诉、举报 制度，公布投诉、举报方式等信息，及时受理 并处理(                        )的投诉和举报。,恶意程序,涉及个人隐私的信息,"法律、行政法规禁
止发布的信息",有关网络信息安全,4,单选,3,2,法律法规,,,,,,
"为他人从事危害网络安全的活动提供技术支持
、广告推广、支付结算等帮助，情节较重，尚
不构成犯罪的，由公安机关没收违法所得，处
五日以上十五日以下拘留，可以并处(",一万元以上十万元以下罚款,五万元以上十万元以下罚款,"五万元以上五十万
元以下罚款","十万元以上一百万
元以下罚款",4,单选,3,2,法律法规,,,,,,
"为他人从事危害网络安全的活动提供技术支持
、广告推广、支付结算等帮助，尚不构成犯罪
的，由_???????? 没收违法所得。",网信部门,国家网信部门,公安机关,国家有关部门,3,单选,3,2,法律法规,,,,,,
"未按国家有关规定开展网络安全认证、检测、
风险评估等活动，由(                        )责令改正，给予警告",网信部门,国家网信部门,有关主管部门,国家有关部门,3,单选,3,2,法律法规,,,,,,
"未按国家有关规定开展网络安全认证、检测、
风险评估等活动，由有关主管部门责令改正，
给予警告；拒不改正或者情节严重的，(
)。","处五千元以上五万
元以下罚款","处一万元以上五万
元以下罚款","处一万元以上十万
元以下罚款","处五万元以上五十
万元以下罚款",3,单选,3,2,法律法规,,,,,,
"未按国家有关规定开展网络安全认证、检测、
风险评估等活动，由有关主管部门责令改正，
给予警告；拒不改正或者情节严重的，对直接
负责的主管人员和其他直接责任人员处(
)。",处五千元以上五万元以下罚款,处一万元以上五万元以下罚款,处一万元以上十万元以下罚款,处五千元以上十万元以下罚款,1,单选,3,2,法律法规,,,,,,
通过网络实施的下列哪些行为是违法的？,散步谣言，谎报险情、疫情、警情或者以其他方法故意扰乱公共秩序的,"投放虚假的爆炸性
、毒害性、放射性
、腐蚀性物质或者
传染病病原体等危
险物质扰乱公共秩
序的",扬言实施防火、爆炸、投放危险物质扰乱公共秩序的,以上均是,4,单选,3,2,法律法规,,,,,,
"个人、法人和其他组织使用的计算机或者计算
机信息网络，需要进行国际联网的，必须通过
接入网络进行国际联网。需要接入网络的，应
当征得（）的同意，并办理（）手续。",国家网信部门；登记,接入单位；备案,接入单位；登记,国家网信部门；备案,3,单选,3,2,法律法规,,,,,,
按照国务院规定的职责分工，负责关键信息基 础设施安全保护工作的部门（         ）,"分别编制并组织实
施本行业、本领域
的关键信息基础设
施安全规划","联合编制并组织实
施各相关行业、相
关领域的关键信息
基础设施安全规划","交叉编制并组织实
施相关行业、相关
领域的关键信息基
础设施安全规划","不得编制并组织实
施本行业、本领域
的关键信息基础设
施安全规划",1,单选,3,2,法律法规,,,,,,
根据《网络安全法》第34条的规定，关键信息 基础设施的运营者还应当履行的安全保护义 务，不包括（         ）,"设置专门安全管理
机构和安全管理负
责人，并对该负责
人和关键岗位的人
员进行安全背景审
查",对重要系统和数据库进行容灾备份,定期发布网络风险预警,制定网络安全事件应急预案，并定期进行演练,3,单选,3,2,法律法规,,,,,,
网络安全事件发生的风险增大时，（         ）按照规定的权限和程序，并根据网络安全风险的特点和可能造成的危害，向社会发布网络安全风险预警，发布避免、减轻危害的措施。,县级以上人民政府有关部门,省级以上人民政府有关部门,国务院有关部门,"属地网信部门和公
安机关联合",2,单选,3,2,法律法规,,,,,,
"互联网信息搜索服务管理工作具体由（
）负责实施。",公安机关,国家测绘部门,交通管理部门,国家网信部门,4,单选,3,2,法律法规,,,,,,
"国家采取措施，监测、防御、处置来源于中华
人民共和国境内外的网络安全风险和威胁，保
护关键信息基础设施免受（          ），依法惩治网络违法犯罪活动，维护网络空间安全和秩序",攻击、侵入、干扰和破坏,攻击、干扰和破坏,盗用、侵入、干扰和破坏,盗用、干扰和破坏,1,单选,3,2,法律法规,,,,,,
"有关行业组织建立健全本行业的网络安全保护
规范和协作机制，加强对网络安全风险的分析
评估，（          ）向会员进行风险警示，支持、协助会员应对网络安全风险。",定期,不定期,每三个月,每半年,1,单选,3,2,法律法规,,,,,,
"为了保守国家秘密，维护国家安全和利益，保 障改革开放和社会主义建设事业的顺利进行，
2010年10月1日起，开始实行（       ）",中华人民共和国保密法,"中华人民共和国保
守国家秘密法",中国人民共和国国家保密法,中华人民共和国保守秘密法,2,单选,3,2,法律法规,,,,,,
是指数据电文中以电子形式（          ）用于识 别签名人身份并表明签名人认可其中内容的数 据。,所含、所附,所含,所附,"所含、所附、所表
现",1,单选,3,2,法律法规,,,,,,
"《网络安全法》对“关键信息基础设施”的列
举不包括（         ）",军事,交通,金融,能源,1,单选,3,2,法律法规,,,,,,
（         ）负责统筹协调网络安全工作和相关监督管理工作,公安机关,电信主管部门,国务院,国家网信部门,4,单选,3,2,法律法规,,,,,,
"中华人民共和国网络安全法》规定，（
）有权对危害网络安全的行为向网信、电信、
公安等部门举报。",律师,公安机关,16岁以上公民,任何个人和组织,4,单选,3,2,法律法规,,,,,,
互联网服务提供者和联网使用单位不需要落实 以下哪项互联网安全保护技术措施。（）,防范计算机病毒、网络入侵和攻击破坏等危害网络安全事项或者行为的技术措施,提供用户防火墙、信息免骚扰等相关预警技术措施,"记录并留存用户登
录和退出时间、主
叫号码、账号、互
联网地址或域名、
系统维护日志的技
术措施",重要数据库和系统主要设备的冗灾备份措施,2,单选,3,2,法律法规,,,,,,
国际联网经营许可证的格式由（）统一制定。,网络安全协会,公安机关,"国务院信息化工作
领导小组",工信部,3,单选,3,2,法律法规,,,,,,
"网约车采集的个人信息和生产的业务数据，保
存期限不得少于（）。",半年,一年,两年,三年,2,单选,3,2,法律法规,,,,,,
"网约车采集的个人信息和生产的业务数据，应
当在（）存储和使用。",本市,本省,中国内地,中国境内,3,单选,3,2,法律法规,,,,,,
网约车平台应该向（）经营申请。,网络安全协会,公安机关,工信部,"出租汽车
行政主管
部门",4,单选,3,2,法律法规,,,,,,
"互联网公司应当在24小时内向（）报告在其网
站或平台上的赌博行为。",法院,检察院,公安机关,"网络安全
协会",3,单选,3,2,法律法规,,,,,,
"用户在办理入网手续时，应当填写由（）监制
的用户等级表。","网络安全
协会",公安机关,"政府办公
厅",检察院,2,单选,3,2,法律法规,,,,,,
国家机关或者金融、电信、交通、教育、医疗 等单位的工作人员，违反国家规定，将本单位 在履行职责或者提供服务过程中获得的公民个 人信息，出售或者非法提供给他人，情节严重 的，处（          ）。,"三年以下有期徒刑
或者拘役，并处
或者单处罚金",三年以下有期徒刑或者拘役,七年以上有期徒刑，并处罚金,三年以下有期徒刑或者拘役，并取罚金,1,单选,3,2,法律法规,,,,,,
网络产品应当符合相关国家标准的（）要求。,所有,强制性,非强制性,选择性,2,单选,3,2,法律法规,,,,,,
"国家对计算机信息系统安全专用产品的销售实
行（）制度。",备案,事先审批,事后审批,许可证,4,单选,3,2,法律法规,,,,,,
"对互联网上跨境传播极端主义内容的信息，
（）应当采取技术措施，阻断传播。",公安部门,"电信主管
部门",检察部门,"国家安全
部门",2,单选,3,2,法律法规,,,,,,
"《网络安全法》第二十七条指出“任何个人和
组织不得从事非法侵入他人网络、干扰他人网
络正常功能、窃取网络数据等危害网络安全的
活动；不得提供专门用于从事侵入网络、干扰
网络正常功能及防护措施、窃取网络数据等危
害网络安全活动的程序、工具；明知他人从事
危害网络安全的活动的，不得为其提供技术支
持、广告推广、支付结算等帮助”。违法以上
规定，受到治安管理处罚的人员，（          ）年内不得从事网络安全管理和网络运营关键岗",1,3,5,10,3,单选,3,2,法律法规,,,,,,
根据《网络安全法》的规定，网络运营者对法 律、行政法规禁止发布或者传输的信息未停止 传输、采取消除等处置措施、保存有关记录， 且拒不整改或情节严重的，不可以（         ）。,刑事拘留直接负责的主管人员,"责令暂停相关业务
、停业整顿","责令关闭网站、吊
销相关业务许可证
或者吊销营业执照","对直接负责的主管
人员处一万元以上
十万元以下罚款",1,单选,3,2,法律法规,,,,,,
"《网络安全法》明确了我国的网络空间治理目
标，即，推动构建（         ）的网络空间，建立多边、民主、透明的网络治理体系。","和平、有序、安全
、合作","安全、有序、开放
、合作","安全、和平、开发
、有序","和平、安全、开放
、合作",4,单选,3,2,法律法规,,,,,,
"根据《互联网上网服务营业场所管理条例》的
规定，国家对互联网上网服务营业场所经营单
位的经营活动实行（         ）",注册制度,认证制度,许可制度,登记备案制度,3,单选,3,2,法律法规,,,,,,
根据《网络安全法》第29条的规定，国家支持 网络运营者之间在（         ）等方面进行合 作，提高网络运营者的安全保障能力。,"发布、收集、分析
、事故处理","收集、分析、管理
、应急处理","收集、分析、通报
、应急处理","核查、分析、处置
、应急管理",3,单选,3,2,法律法规,,,,,,
"根据《网络安全法》第33条的规定，建设关键 信息基础设施，应保证安全技术措施（
）","同步规划、同步建
设、同步使用","同步规划、同步建
设、同步投运","同步建设、同步测
试","同步规划、同步测
试",1,单选,3,2,法律法规,,,,,,
"因维护国家安全和社会公共秩序，处置重大突
发社会安全事件的需要，经（         ）决定或者批准，可以在特定区域对网络通信采取限制等临时措施。",县级以上人民政府有关部门,省级以上人民政府有关部门,国务院,"属地网信部门和公
安机关联合",3,单选,3,2,法律法规,,,,,,
"根据《计算机信息系统安全保护条例》的规
定，运输、携带、邮寄计算机信息媒体进出
境，不如实向海关申报的案件，由（         ）部门依法办理。",公安,海关,海警,边检,2,单选,3,2,法律法规,,,,,,
"单位和个人自行建立信道进行国际联网的，如
有所得，公安机关可以处（）罚款。",15000以下,15000以上,25000以下,25000以上,1,单选,3,2,法律法规,,,,,,
"网络运营者为用户提供信息发布、即时通讯等
服务，在与用户签订协议或者确认提供服务
时，应当要求用户提供(    )",账号密码,真实身份信息,社交通讯昵称,无历史犯罪证明,2,单选,3,2,法律法规,,,,,,
"个人发现网络运营者收集、存储的其个人信息
有错误的，有权要求网络运营者予以（    ）",删除,更正,保存,保管,2,单选,3,2,法律法规,,,,,,
"个人发现网络运营者违反法律、行政法规的规
定或者双方的约定收集、使用其个人信息的，
有权要求网络运营者（ ）其个人信息",备份,删除,保护,保管,2,单选,3,2,法律法规,,,,,,
